ID_2	X	Y	elevacion	twi	arcilla	pH	COS
344	307888.35	6436237.59	786	100	19.6	7.4	13.17
346	326290.24	6358536.99	805	102	1.1	6.7	30.5
347	323251.74	6333010.66	767	106	7.3	7.7	16
348	323107.77	6317897.91	703	110	7	6.9	9.46
349	323918.45	6296466.95	553	117	11.1	6.3	7.07
350	313421.09	6284488.11	509	114	11.5	6.4	7.39
351	311319.28	6250933.95	384	123	7.2	6.7	3.61
352	316141.01	6234886.63	346	124	11.9	6.5	7.15
353	312199.39	6218220.17	338	126	10.1	6.4	8.41
354	322774.56	6196569.08	295	122	5.7	6.4	3.92
355	313315.45	6173792.07	289	122	9.6	6.5	5.13
356	314626.09	6153623.93	281	118	11.4	6.6	4.5
357	314547.33	6135107.22	265	116	12.6	6.9	11.25
360	303239.8	6620640.32	327	120	13.2	7.6	15.17
361	292241.24	6594051.38	419	117	20	7.2	14.56
362	304823.83	6586069.64	536	117	13.6	7.4	11.09
363	299754.13	6554098.11	727	120	5.8	8.2	15.53
364	299158.85	6536650.69	940	116	21.9	7.1	16.22
365	292274.01	6516661.6	1023	118	10.7	6.6	11.49
366	300315.59	6496947.28	1011	112	24	6.2	10.95
367	295007.18	6475753.8	685	111	14.3	7.7	15.5
369	295427.46	6437040.03	546	120	13.6	7.3	16.29
372	256688.95	6610529.25	207	127	7.4	6.9	10.08
373	271612.19	6610071.71	274	122	14.6	7.1	12.3
374	278760.28	6590394.23	444	93	10.3	6.8	17.48
375	273995.79	6573164.52	681	99	2.8	7.9	15.03
376	284724.37	6544881.61	1006	109	15.6	8	13.82
377	281465.52	6528076.84	1103	94	6.9	7.2	8.5
378	270532.17	6513492.98	373	110	7.1	7	14.78
379	281067.79	6495185.77	387	112	4	7.1	13.42
380	270093.88	6473571.28	399	125	8	8	8.71
381	277578.34	6454922.98	457	129	9.1	6.9	8.13
382	257921.06	6610370.74	212	128	8.5	7	10.02
383	246082.72	6589469.07	219	129	8.5	7.2	10.5
384	250409.82	6572977.82	208	129	7.2	7.4	5.06
385	235888.31	6553600.88	264	126	4	7.1	8.98
386	251686.09	6530851.08	264	124	9.7	7.5	6.96
387	251673.61	6518741.32	370	126	6.9	7.5	5.78
388	260311.31	6503994.26	284	126	10.1	7.5	10.09
389	244261.6	6468474.59	343	126	8.8	8	9.66
390	356043.7	6636299.33	579	110	17.2	7.8	28.36
391	259768.22	6551775.97	259	110	8.5	7.2	7.44
1241	381213.78	6709303.8	382	106	5.3	7.2	34.42
